학원명,카테고리,지번주소,도로명주소,전화번호,위도,경도,거리(km),검색키워드,링크
합기도,"스포츠,레저 > 무예 > 합기도",경기 평택시 서정동 819-11,경기 평택시 특구로23번길 64,031-664-0976,37.0680293238622,127.05969483749,13.98,합기도,http://place.map.kakao.com/11380825
무봉산청소년수련원 수영장,"스포츠,레저 > 수영,수상 > 수영장",경기 평택시 진위면 동천리 679,경기 평택시 진위면 진위로 181-94,,37.1063743899078,127.098704506166,13.99,수영,http://place.map.kakao.com/109853989
고덕수변공원 12호 물놀이장,"스포츠,레저 > 수영,수상 > 수영장 > 어린이수영장",경기 평택시 고덕동 1968-2,,,37.0457457171332,127.047895462936,14.01,수영,http://place.map.kakao.com/1385917131
송탄유도관,"스포츠,레저 > 무예 > 유도 > 유도장",경기 평택시 서정동 823-23,경기 평택시 송탄로 265,031-663-7700,37.0674703094955,127.058589072609,14.04,유도,http://place.map.kakao.com/1457305521
신화태권스쿨,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 서정동 823,경기 평택시 송탄로 275,031-611-0120,37.0683073277,127.058746015617,14.07,태권도,http://place.map.kakao.com/15982715
용인대국기태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 서정동 837-15,경기 평택시 지장로11번길 7,,37.0669931851094,127.057683535233,14.09,태권도,http://place.map.kakao.com/624430732
장애인역도전용체육관,"스포츠,레저 > 역도 > 역도장",경기 평택시 독곡동 131,경기 평택시 오리곡길 58,,37.0851503501036,127.071490653247,14.12,체육관,http://place.map.kakao.com/1897664827
송탄경희대태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 서정동 876-8,경기 평택시 점촌로19번길 59,031-663-4300,37.0659630031438,127.056342446414,14.14,태권도,http://place.map.kakao.com/494020127
백호태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 지산동 1094,경기 평택시 지산2로 50,031-647-3998,37.0764838652504,127.063567754749,14.15,태권도,http://place.map.kakao.com/908678983
기품타이곤태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 서정동 789,경기 평택시 서정북로 84,031-611-4041,37.07077254111544,127.05898518461079,14.18,태권도,http://place.map.kakao.com/1642565569
신화태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 진위면 봉남리 309-3,경기 평택시 진위면 봉남길 31,,37.1009332588636,127.087877807851,14.18,태권도,http://place.map.kakao.com/164151477
월드태권아카데미,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 팽성읍 안정리 48-51,경기 평택시 팽성읍 신흥북로29번길 27,031-655-1551,36.96432348811104,127.04912117489867,14.22,태권도,http://place.map.kakao.com/1905497132
천지태권도,"스포츠,레저 > 무예 > 태권도",경기 평택시 지산동 1134,경기 평택시 송탄공원로 145,031-666-0722,37.0784110788468,127.063895498751,14.24,태권도,http://place.map.kakao.com/25933372
한국체대 이룸 태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 지산동 1134,경기 평택시 송탄공원로 145,,37.0784471434327,127.063855043257,14.25,태권도,http://place.map.kakao.com/2114024934
평택지산초등학교 체육관,"교육,학문 > 학교부속시설",경기 평택시 지산동 1090,경기 평택시 지산2로 57,,37.077512409125525,127.06277465244642,14.27,체육관,http://place.map.kakao.com/2002701584
빌리풀 고덕1호점,"스포츠,레저 > 수영,수상 > 수영장",경기 평택시 고덕동 1978-1,경기 평택시 고덕중앙로 200-18,031-667-1978,37.0468615215206,127.044892466406,14.3,수영,http://place.map.kakao.com/1625980083
대한해동검도 송탄본관,"교육,학문 > 학원",경기 평택시 지산동 1128,경기 평택시 지산3로 57,,37.08020313897709,127.06420740058705,14.33,검도,http://place.map.kakao.com/25990825
용인대백호태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 독곡동 488,경기 평택시 지산로 85,031-667-0722,37.0806311299802,127.064239251341,14.35,태권도,http://place.map.kakao.com/144774841
용인대 한국태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 독곡동 487,경기 평택시 지산로 83,031-667-4320,37.080557357817916,127.06402550834612,14.36,태권도,http://place.map.kakao.com/1514901037
아이짐,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 독곡동 487,경기 평택시 지산로 83,,37.08052672630889,127.06401648550674,14.36,체육관,http://place.map.kakao.com/25900478
용인대한국태권도장 아이짐유소년스포츠,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 독곡동 487,경기 평택시 지산로 83,,37.0805807941251,127.064009783152,14.37,태권도,http://place.map.kakao.com/14720967
대한해동검도관 평택총본관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 평택시 독곡동 486,경기 평택시 지산로 81,031-667-7777,37.0805033954858,127.063836524332,14.37,검도,http://place.map.kakao.com/539833924
경희대석사리더스태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 1973-1,경기 평택시 고덕중앙로 200-4,,37.0477736659904,127.044209519304,14.39,태권도,http://place.map.kakao.com/1353313756
린발레학원,"교육,학문 > 학원 > 무용학원,발레학원",경기 평택시 고덕동 1973-1,경기 평택시 고덕중앙로 200-4,010-8352-8021,37.0477736659904,127.044209519304,14.39,발레,http://place.map.kakao.com/64469481
슈퍼키즈태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 1904-2,경기 평택시 고덕국제대로 180,,37.0543514047099,127.04683283445,14.41,태권도,http://place.map.kakao.com/576585095
지킴이태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 독곡동 475,경기 평택시 지산3로 75,031-668-7770,37.0815178918302,127.064037562597,14.42,태권도,http://place.map.kakao.com/26553913
송전태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 용인시 처인구 이동읍 송전리 1227,경기 용인시 처인구 이동읍 경기동로705번길 30,031-338-2750,37.139408514574825,127.20111210511384,14.47,태권도,http://place.map.kakao.com/12513760
별하태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 독곡동 349-3,경기 평택시 지산천로 34-12,031-668-5286,37.0828480155851,127.063768760765,14.52,태권도,http://place.map.kakao.com/33363956
경희대석사슈퍼키즈태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 1904-2,경기 평택시 고덕국제대로 180,,37.0524113428358,127.044622549658,14.52,태권도,http://place.map.kakao.com/218120010
GMA해동검도&합기도,"스포츠,레저 > 무예 > 검도 > 검도장",경기 평택시 독곡동 349-2,경기 평택시 지산천로 34-12,031-665-2587,37.082848916641154,127.06376876151977,14.52,검도,http://place.map.kakao.com/26023085
효덕신화태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕면 궁리 75,경기 평택시 고덕면 서동대로 2651,031-667-4006,37.01571567243464,127.03441380710815,14.63,태권도,http://place.map.kakao.com/1552124826
용인대 국가대표 태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2618-1,경기 평택시 고덕국제대로 99,,37.0446510458144,127.040254228561,14.63,태권도,http://place.map.kakao.com/888230109
평택시민탁구체육센터,"스포츠,레저 > 탁구 > 탁구장",경기 평택시 고덕면 궁리 75,경기 평택시 고덕면 서동대로 2651,031-663-9788,37.0157102727957,127.034390207407,14.63,체육관,http://place.map.kakao.com/1731463296
K블랙벨트,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 용인시 처인구 이동읍 송전리 723-1,경기 용인시 처인구 이동읍 경기동로687번길 20,031-338-8643,37.14117896110344,127.19798106348179,14.67,합기도,http://place.map.kakao.com/2043717390
팽성초등학교 체육관,"교육,학문 > 학교부속시설",경기 평택시 팽성읍 송화리 233-1,경기 평택시 팽성읍 송화2길 2,,36.9501736746723,127.051290156496,14.67,체육관,http://place.map.kakao.com/1644541183
탄우짐,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 지산동 775-11,경기 평택시 송탄로 398,010-2327-3845,37.0789844309321,127.058112098726,14.71,체육관,http://place.map.kakao.com/1036028204
한국생존수영협회 경기남부지회,"사회,공공기관 > 단체,협회",경기 평택시 지산동 827-10,경기 평택시 탄현로268번길 5,031-664-7054,37.07640401812964,127.05570691431869,14.75,수영,http://place.map.kakao.com/2060938119
에어탱크스쿠버,"스포츠,레저 > 수영,수상 > 스킨스쿠버",경기 평택시 지산동 827-10,경기 평택시 탄현로268번길 5,031-664-7054,37.0764112372537,127.055684428113,14.75,수영,http://place.map.kakao.com/460003937
동양태권도체육관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 팽성읍 안정리 127-27,경기 평택시 팽성읍 안정순환로 108,031-691-3357,36.9586531848885,127.043895201952,14.88,태권도,http://place.map.kakao.com/1311012657
용인대석사승리태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 1899-2,경기 평택시 고덕국제대로 179,,37.054204892454,127.040983289176,14.89,태권도,http://place.map.kakao.com/574638193
특경합기도연무관,"스포츠,레저 > 무예 > 합기도 > 합기도장",충남 천안시 서북구 직산읍 삼은리 72-1,충남 천안시 서북구 직산읍 직산로 33,041-587-5853,36.879968897184725,127.15333799073363,14.94,합기도,http://place.map.kakao.com/156142042
물벗스킨스쿠버,"스포츠,레저 > 수영,수상 > 스킨스쿠버",경기 평택시 지산동 736-1,경기 평택시 지산1로 89-2,,37.0834346782013,127.058391041706,14.96,수영,http://place.map.kakao.com/215374213
경희대석사고덕슈퍼키즈태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2664-1,경기 평택시 고덕국제6로 49,,37.03706511721052,127.03373218306132,14.99,태권도,http://place.map.kakao.com/1743190597
스트롱베리트레이닝,"스포츠,레저 > 스포츠시설 > 체육관",충남 천안시 서북구 성거읍 신월리 6-6,충남 천안시 서북구 성거읍 봉주로 101,,36.8779795992754,127.157902523528,15.05,체육관,http://place.map.kakao.com/1618423921
단국대소망태권도 스포츠단,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 천안시 서북구 성거읍 신월리 14-8,충남 천안시 서북구 성거읍 역전말3길 106,041-584-1177,36.87714123025751,127.1601811017137,15.09,태권도,http://place.map.kakao.com/174673714
세계제일태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 천안시 서북구 성거읍 송남리 12-1,충남 천안시 서북구 성거읍 성거길 89,,36.8733945094581,127.201057467804,15.11,태권도,http://place.map.kakao.com/639373075
동아방송예술대학교 체육관,"스포츠,레저 > 스포츠시설 > 체육관",경기 안성시 삼죽면 진촌리 632-18,경기 안성시 삼죽면 동아예대길 47,,37.0578361264176,127.358439780376,15.15,체육관,http://place.map.kakao.com/17574311
하늘태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 천안시 서북구 성거읍 송남리 15-3,충남 천안시 서북구 성거읍 성거길 77,041-523-3533,36.8723859432903,127.200663394992,15.22,태권도,http://place.map.kakao.com/18492654
직산합기도정도관,"스포츠,레저 > 무예 > 합기도 > 합기도장",충남 천안시 서북구 직산읍 삼은리 414,충남 천안시 서북구 직산읍 봉주로 57,041-584-4869,36.87742026861356,127.1528853575826,15.22,합기도,http://place.map.kakao.com/8098749
용인대석사 튼튼태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 천안시 서북구 직산읍 삼은리 76-479,충남 천안시 서북구 직산읍 삼은2길 14,041-583-8830,36.8780139870247,127.148708365765,15.26,태권도,http://place.map.kakao.com/1778956122
고덕 경희대 태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2516-1,경기 평택시 함박산9길 11,,37.0387779643588,127.030783514414,15.29,태권도,http://place.map.kakao.com/664907397
존프랭클 고덕 주짓수&태권도,"스포츠,레저 > 무예 > 격투기",경기 평택시 고덕동 2712-1,경기 평택시 고덕국제7로 117,010-4548-5947,37.0351991474703,127.029764880136,15.3,태권도,http://place.map.kakao.com/1512267971
부부퍼스트태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2712-1,경기 평택시 고덕국제7로 117,010-7927-1177,37.0351874351479,127.029758131767,15.3,태권도,http://place.map.kakao.com/194009838
무한합기도,"스포츠,레저 > 무예 > 합기도",충남 천안시 서북구 성거읍 송남리 18-3,충남 천안시 서북구 성거읍 소댕이3길 606-22,,36.871039286359995,127.19983889449765,15.37,합기도,http://place.map.kakao.com/25942692
금광관광농원 수영장,"스포츠,레저 > 수영,수상 > 수영장",경기 안성시 금광면 현곡리 513,,,36.95941308465568,127.36180458412589,15.49,수영,http://place.map.kakao.com/1566885010
신장근린공원 체력단련장,"스포츠,레저 > 스포츠시설 > 운동장",경기 평택시 신장동 370-2,경기 평택시 신장로 124,,37.086277705367,127.052267996837,15.58,체육관,http://place.map.kakao.com/1282400234
한국체대 제일태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동,경기 평택시 고덕국제5로 145,,37.0344449867842,127.025737453831,15.63,태권도,http://place.map.kakao.com/99176132
한국체대 국가대표태권도장 국제관,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2693-1,경기 평택시 고덕로3길 26,010-4033-8115,37.0375662234934,127.026165627756,15.66,태권도,http://place.map.kakao.com/1131205568
푸르미르태권도장 고덕점,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2691-3,경기 평택시 고덕로3길 25,010-3935-8544,37.0378375106442,127.025877975475,15.69,태권도,http://place.map.kakao.com/42962473
용인대파랑태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동,경기 평택시 고덕로1길 18,031-666-1053,37.0352435288875,127.024856533108,15.73,태권도,http://place.map.kakao.com/1028927314
한국체대 해창태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2704-3,경기 평택시 고덕로1길 8,010-8189-4004,37.0343830569899,127.024584255686,15.73,태권도,http://place.map.kakao.com/1472423537
용인대바른태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 고덕동 2489-1,경기 평택시 고덕국제8로 91,010-9855-4255,37.041852578197314,127.02646047951656,15.74,태권도,http://place.map.kakao.com/171967585
MTA태권도 석곡점,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 아산시 둔포면 석곡리 1671,충남 아산시 둔포면 아산밸리중앙로 83,,36.9237239989167,127.057054668179,15.79,태권도,http://place.map.kakao.com/27425168
용인대송무태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 아산시 둔포면 석곡리 1675,충남 아산시 둔포면 아산밸리중앙로 82,041-531-9395,36.9232589525677,127.057224914488,15.81,태권도,http://place.map.kakao.com/342324676
한아름어린이공원 물놀이터,"스포츠,레저 > 수영,수상 > 수영장 > 어린이수영장",충남 아산시 둔포면 석곡리 1796,,,36.9253002240877,127.054687681962,15.86,수영,http://place.map.kakao.com/496529600
MTA미션태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 아산시 둔포면 석곡리 1788,충남 아산시 둔포면 아산밸리중앙로 47,041-549-6548,36.9240579324958,127.053995437679,15.99,태권도,http://place.map.kakao.com/540662677
소풍정원 물놀이장,"스포츠,레저 > 수영,수상 > 수영장 > 어린이수영장",경기 평택시 고덕면 궁리 424-39,경기 평택시 고덕면 새악길 43-42,,37.0113480173554,127.018893589092,15.99,수영,http://place.map.kakao.com/1876741230
염작튼튼해동검도,"스포츠,레저 > 무예 > 검도 > 검도장",충남 아산시 둔포면 석곡리 1801,충남 아산시 둔포면 아산밸리중앙로 58-5,010-6361-3020,36.9233764709762,127.05450898102,16.0,검도,http://place.map.kakao.com/2071050891
미션태권도&줄넘기,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 아산시 둔포면 석곡리 1788,충남 아산시 둔포면 아산밸리중앙로 47,041-549-6548,36.923774174593454,127.05380444171064,16.02,태권도,http://place.map.kakao.com/1060830053
아산둔포국민체육센터 수영장,"스포츠,레저 > 수영,수상 > 수영장",충남 아산시 둔포면 석곡리 1481,충남 아산시 둔포면 중앙공원로 51,041-536-8840,36.9184579909843,127.058927148264,16.03,체육관,http://place.map.kakao.com/1167647336
둔포국민체육센터,"스포츠,레저 > 스포츠시설 > 체육관",충남 아산시 둔포면 석곡리 1481,충남 아산시 둔포면 중앙공원로 51,041-536-8840,36.91844176738944,127.05893499153535,16.03,체육관,http://place.map.kakao.com/260123803
몬스터스포츠 태권도,"교육,학문 > 학원",경기 용인시 처인구 남사읍 아곡리 702,경기 용인시 처인구 남사읍 한숲로58번길 16,,37.1524416918907,127.172347889774,16.1,태권도,http://place.map.kakao.com/1922121429
명품타이거즈,"스포츠,레저 > 무예 > 합기도",경기 용인시 처인구 남사읍 아곡리 700,경기 용인시 처인구 남사읍 한숲로58번길 21,,37.152599883761,127.173236426406,16.1,합기도,http://place.map.kakao.com/1748200779
앙상떼발레스튜디오학원,"교육,학문 > 학원 > 무용학원,발레학원",경기 용인시 처인구 남사읍 아곡리 694,경기 용인시 처인구 남사읍 한숲로 45,,37.1526251941608,127.170069887864,16.15,발레,http://place.map.kakao.com/174177811
한숲중앙태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 용인시 처인구 남사읍 아곡리 694,경기 용인시 처인구 남사읍 한숲로 45,010-5446-4875,37.15282929068683,127.17037878780883,16.16,태권도,http://place.map.kakao.com/1471299233
국가대표 라이언태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 용인시 처인구 남사읍 아곡리 701,경기 용인시 처인구 남사읍 한숲로 54,,37.1529471384524,127.171136652066,16.17,태권도,http://place.map.kakao.com/1938770856
한숲의아침합기도,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 용인시 처인구 남사읍 아곡리 701,경기 용인시 처인구 남사읍 한숲로 54,,37.15294713846456,127.17113665206672,16.17,합기도,http://place.map.kakao.com/775076383
국가대표한숲HIT태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 용인시 처인구 남사읍 아곡리 698,경기 용인시 처인구 남사읍 한숲로 60,010-9662-4244,37.1532527450809,127.171657418868,16.19,태권도,http://place.map.kakao.com/160877612
튼튼어린이체육교실,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 진위면 가곡리 321-1,경기 평택시 진위면 가곡3길 22-7,,37.1174760060125,127.07602063553,16.24,체육관,http://place.map.kakao.com/1616008288
더원태권도,"스포츠,레저 > 무예 > 태권도",충남 아산시 둔포면 석곡리 1778,충남 아산시 둔포면 아산밸리중앙로 25,,36.9237412842011,127.05073372861,16.25,태권도,http://place.map.kakao.com/1867466737
경희대양당태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 천안시 서북구 직산읍 자은가리 85-5,충남 천안시 서북구 직산읍 상덕로 99,,36.8761602744601,127.120162630441,16.37,태권도,http://place.map.kakao.com/13108903
아쿠아몽,"스포츠,레저 > 수영,수상 > 수영장",경기 평택시 고덕면 해창리 1270,경기 평택시 고덕면 도시지원1길 116,,37.0287888467431,127.015899417507,16.4,수영,http://place.map.kakao.com/829680997
명륜태권도체육관,"스포츠,레저 > 무예 > 태권도",경기 평택시 진위면 가곡리 375-5,경기 평택시 진위면 가곡길 92,031-662-2848,37.1179874660164,127.073712259351,16.42,태권도,http://place.map.kakao.com/626976787
JTA한숲합기도&줄넘기,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 용인시 처인구 남사읍 아곡리 681,경기 용인시 처인구 남사읍 한숲로 83,,37.1554140133897,127.171912219548,16.43,합기도,http://place.map.kakao.com/1673135134
한숲경희대 MTA태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 용인시 처인구 남사읍 완장리 949,경기 용인시 처인구 남사읍 한숲로 123,031-323-5510,37.1591309442693,127.174332093414,16.81,태권도,http://place.map.kakao.com/608474297
명문태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 아산시 둔포면 둔포리 310-5,충남 아산시 둔포면 둔포중앙로161번길 21-2,,36.9263332348657,127.040266013761,16.85,태권도,http://place.map.kakao.com/15819883
둔포태권도스쿨 충남본관,"스포츠,레저 > 무예 > 태권도 > 태권도장",충남 아산시 둔포면 둔포리 416-4,충남 아산시 둔포면 둔포중앙로 151,010-2116-0689,36.92704222171,127.038059794117,16.97,태권도,http://place.map.kakao.com/244025711
충무관해동검도,"스포츠,레저 > 무예 > 검도",충남 아산시 둔포면 둔포리 416-4,충남 아산시 둔포면 둔포중앙로 151,,36.92701608786197,127.03806651538395,16.97,검도,http://place.map.kakao.com/12609354
블루오션수영장,"스포츠,레저 > 수영,수상 > 수영장",경기 오산시 고현동 57,경기 오산시 남부대로 445-2,,37.1337644330987,127.084155724604,17.19,수영,http://place.map.kakao.com/1772043073
용인대석사청호태권도,"교육,학문 > 학원",경기 오산시 청호동 322,경기 오산시 동부대로 332-10,,37.131423153224,127.079396118039,17.24,태권도,http://place.map.kakao.com/1283500867
둔포다목적체육관,"스포츠,레저 > 스포츠시설 > 체육관",충남 아산시 둔포면 둔포리 496-8,,,36.9280473525499,127.033714394266,17.24,체육관,http://place.map.kakao.com/2101477406
경희대나우태권도도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 오산시 원동 921,경기 오산시 원당로 35,,37.1396298986295,127.09318092658637,17.27,태권도,http://place.map.kakao.com/15365533
둔포면주민자치센터 다목적체육관,"스포츠,레저 > 스포츠시설 > 체육관",충남 아산시 둔포면 시포리 8,충남 아산시 둔포면 충무로 1765-20,,36.92839815960538,127.0327066366419,17.29,체육관,http://place.map.kakao.com/1438788094
용인대효태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 평택시 진위면 갈곶리 239-2,경기 평택시 진위면 엘지로 55,031-375-7200,37.1261930077854,127.069985310975,17.32,태권도,http://place.map.kakao.com/26549636
한국파워점핑줄넘기,"스포츠,레저 > 스포츠시설 > 체육관",경기 오산시 고현동 46,경기 오산시 남부대로 430-7,,37.1340119370822,127.081995180715,17.32,체육관,http://place.map.kakao.com/1789541133
용인대국가대표태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 오산시 원동 715-15,경기 오산시 원당로 22,,37.1410396517778,127.092550107801,17.43,태권도,http://place.map.kakao.com/426060918
행복HEYA점핑,"스포츠,레저 > 스포츠시설 > 체육관",경기 오산시 원동 715-15,경기 오산시 원당로 22,010-3513-7720,37.1410396517778,127.092550107801,17.43,체육관,http://place.map.kakao.com/302560981
용인대 대원명문태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 오산시 갈곶동 259,경기 오산시 경기대로 53,031-376-7677,37.12980012096954,127.0712310340259,17.55,태권도,http://place.map.kakao.com/1215407512
용인대 명문태권도장,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 오산시 갈곶동 276,경기 오산시 경기대로 78-12,031-374-0620,37.131338767013695,127.07331331585016,17.57,태권도,http://place.map.kakao.com/1296134500
오산원당초등학교 다목적체육관,"교육,학문 > 학교부속시설",경기 오산시 원동 30-22,,,37.1417603444444,127.090416960544,17.6,체육관,http://place.map.kakao.com/939304785
어메이징 축구교실,"교육,학문 > 학원",경기 오산시 원동 704-4,경기 오산시 부원로 93-21,,37.14117263143108,127.08832052036679,17.65,축구교실,http://place.map.kakao.com/695636012
MTA독수리태권도 오산점,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 오산시 갈곶동 152-11,경기 오산시 오산로62번길 6-4,031-376-8686,37.1318232219736,127.069346770384,17.83,태권도,http://place.map.kakao.com/26566695
한라합기도,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 오산시 갈곶동 163-1,경기 오산시 오산로 50,,37.13119303838,127.068382866302,17.84,합기도,http://place.map.kakao.com/9570551
KB스타즈체육관,"스포츠,레저 > 스포츠시설 > 체육관",충남 천안시 동남구 안서동 3,충남 천안시 동남구 문암로 283,,36.8487033638466,127.201619561645,17.85,체육관,http://place.map.kakao.com/11475614
수영궁카페,음식점 > 카페,경기 용인시 처인구 이동읍 묵리 425,경기 용인시 처인구 이동읍 이원로 511,,37.1663719656708,127.241087807603,17.86,수영,http://place.map.kakao.com/879533666
마루한태권도 오산지부,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 오산시 원동 807,경기 오산시 경기대로 99-17,031-375-3283,37.13357776586,127.0705750789731,17.91,태권도,http://place.map.kakao.com/1714116753
무술,부동산 > 지명,충북 진천군 광혜원면 구암리,,,36.9855215693471,127.398496008846,17.91,무술,http://place.map.kakao.com/7885277
천안케이블워터파크,"스포츠,레저 > 수영,수상 > 수상스포츠",충남 천안시 동남구 안서동 산 57-3,충남 천안시 동남구 문암로 227,041-522-3323,36.848140899563845,127.19579446577684,17.92,수영,http://place.map.kakao.com/18146983
국립공주대학교 천안캠퍼스 체육관,"스포츠,레저 > 스포츠시설 > 체육관",충남 천안시 서북구 신당동 592,충남 천안시 서북구 천안대로 1223-24,,36.8514296424826,127.152290891512,18.03,체육관,http://place.map.kakao.com/17806903
처인체력단련장,"스포츠,레저 > 골프 > 골프장",경기 용인시 처인구 이동읍 덕성리 산 83-1,경기 용인시 처인구 이동읍 이원로384번길 71,031-330-8200,37.1709089408822,127.223059664449,18.1,체육관,http://place.map.kakao.com/25542740
처인체력단련장 주차장,"교통,수송 > 교통시설 > 주차장",경기 용인시 처인구 이동읍 덕성리 1224,경기 용인시 처인구 이동읍 이원로384번길 71,,37.17082950471055,127.22409081929568,18.1,체육관,http://place.map.kakao.com/1852102082
원동초등학교 스포츠센터,"스포츠,레저 > 스포츠시설 > 체육관",경기 오산시 원동 805,경기 오산시 오산로 92,031-371-1850,37.1350814442452,127.069376754404,18.11,체육관,http://place.map.kakao.com/1635548266
서탄초등학교 해솔관,"스포츠,레저 > 스포츠시설 > 체육관",경기 평택시 서탄면 금암리 233-1,경기 평택시 서탄면 금암2길 121,,37.10738419274792,127.03555776883573,18.15,체육관,http://place.map.kakao.com/1663525458
파워점핑줄넘기클럽,"스포츠,레저 > 스포츠시설 > 체육관",경기 오산시 갈곶동 672-1,경기 오산시 오산로 93,031-377-7774,37.1351466839102,127.068753318578,18.15,체육관,http://place.map.kakao.com/721674603
대한검도회 오산검도관,"스포츠,레저 > 무예 > 검도 > 검도장",경기 오산시 갈곶동 667,경기 오산시 오산로 91-12,031-375-8840,37.13554678767971,127.06869740815775,18.19,검도,http://place.map.kakao.com/26023815
강류합기도&주짓수 장지도장,"스포츠,레저 > 무예 > 합기도 > 합기도장",경기 화성시 동탄구 장지동 1018-4,경기 화성시 동탄구 동탄장지천6길 49,031-377-7466,37.156914990197144,127.10895159185108,18.26,합기도,http://place.map.kakao.com/121653505
경희대국가대표형제태권도,"스포츠,레저 > 무예 > 태권도 > 태권도장",경기 화성시 동탄구 장지동 1010,경기 화성시 동탄구 동탄대로4길 123,010-2626-8881,37.16149068203615,127.12001946774383,18.32,태권도,http://place.map.kakao.com/980415391
스위토 발레,"교육,학문 > 학원 > 무용학원,발레학원",경기 오산시 원동 372-1,경기 오산시 경기대로 174,010-8226-9112,37.14027970245,127.073793535444,18.32,발레,http://place.map.kakao.com/964972435
태권소리태권도,"교육,학문 > 학원",충남 천안시 서북구 부대동 695,충남 천안시 서북구 부성26로 29,,36.8489595811961,127.150272257404,18.34,태권도,http://place.map.kakao.com/967003599
오산삼산체육관,"스포츠,레저 > 무예 > 격투기 > 무에타이",경기 오산시 원동 373-4,경기 오산시 밀머리로 8,031-378-6915,37.1411852889854,127.07376064911247,18.4,체육관,http://place.map.kakao.com/21849250
젤리클발레학원,"교육,학문 > 학원 > 무용학원,발레학원",경기 오산시 부산동 690,경기 오산시 부산중앙로 25-6,010-7668-9643,37.15091035757916,127.0907430427439,18.45,발레,http://place.map.kakao.com/1876190058
